Pixel #,Angle,Signal
1,73.387231522,3.1457194137956948
2,73.321226088,4.416013703153809
3,73.255283698,4.2784382620033155
4,73.189404352,4.039369089815025
5,73.12358805,2.678057553645501
6,73.057834792,3.0812584832093983
7,72.992144578,3.8109304556596024
8,72.926517408,2.622203246345434
9,72.860953282,4.392229785299133
10,72.7954522,4.362756416093156
11,72.730014162,3.093384361776148
12,72.664639168,3.6960102956167464
13,72.599327218,3.382830554077887
14,72.534078312,4.186850861496969
15,72.46889245,3.73437967592502
16,72.40376963199999,3.334369045310872
17,72.338709858,3.065337189782533
18,72.273713128,4.035515509033272
19,72.208779442,3.5842848458315393
20,72.1439088,3.2019211929642015
21,72.079101202,3.01906893539817
22,72.014356648,4.261601418717326
23,71.949675138,3.6185029615872826
24,71.885056672,3.0907438443323563
25,71.82050124999999,3.3041114472066404
26,71.756008872,3.591924581966597
27,71.691579538,2.967712621259209
28,71.627213248,2.6009987155407672
29,71.562910002,2.645043703125682
30,71.4986698,4.152019154975356
31,71.434492642,3.15920535052934
32,71.370378528,2.8162797436094493
33,71.306327458,3.9921602851833424
34,71.242339432,4.174161108804744
35,71.17841444999999,3.891036774954235
36,71.114552512,3.0238658014154813
37,71.050753618,3.69753408624127
38,70.987017768,2.627294433686016
39,70.923344962,4.227199749157052
40,70.8597352,4.460366389642181
41,70.796188482,3.088996599325892
42,70.732704808,4.25331723748915
43,70.669284178,4.507436068239437
44,70.605926592,4.332835572095451
45,70.54263205,2.7563585336674237
46,70.479400552,3.4925312824721977
47,70.416232098,3.72093699094648
48,70.353126688,3.765966853368367
49,70.290084322,3.951329915135588
50,70.227105,4.075598444257665
51,70.164188722,2.8638909823685688
52,70.101335488,2.593348285554342
53,70.038545298,4.428944604193596
54,69.975818152,4.061096781160377
55,69.91315405,3.9731775295451315
56,69.850552992,3.4996916204369195
57,69.78801497799999,3.9984092148452954
58,69.725540008,3.4729262608152682
59,69.663128082,3.535376449159132
60,69.6007792,3.7890099138829174
61,69.538493362,3.0496757558993393
62,69.476270568,2.682888969877927
63,69.414110818,2.6653133812987435
64,69.35201411199999,3.7151239993493212
65,69.28998045,2.9993571340995406
66,69.228009832,3.0088589900769644
67,69.166102258,3.6948320715075664
68,69.104257728,4.093136009769277
69,69.04247624199999,2.8560039735418083
70,68.98075779999999,4.090453841215962
71,68.919102402,2.906627944418835
72,68.857510048,4.1245405800345
73,68.795980738,2.929063503729768
74,68.734514472,3.053081470039249
75,68.67311125,2.795452050356949
76,68.611771072,3.8297962277735063
77,68.550493938,2.9898589680013665
78,68.489279848,2.9409799288171468
79,68.428128802,3.993281530502725
80,68.3670408,3.955287753088971
81,68.306015842,3.5271099010192004
82,68.245053928,3.6717319204365464
83,68.184155058,3.90046559558208
84,68.123319232,4.489093230375665
85,68.06254645,3.32385466605909
86,68.001836712,4.2865817077789705
87,67.941190018,3.220035844249907
88,67.880606368,3.7726545667972795
89,67.820085762,4.393450480116187
90,67.7596282,2.6431556208576032
91,67.699233682,4.0319056851250625
92,67.63890220799999,3.929358464069875
93,67.578633778,3.8457704143583618
94,67.518428392,3.8913240893992365
95,67.45828605,3.3742283151012424
96,67.398206752,3.0664469410385986
97,67.338190498,3.468979890103506
98,67.278237288,4.368564689483635
99,67.218347122,3.6768377191384682
100,67.15852,3.3141770617827735
101,67.098755922,4.31479163152652
102,67.039054888,3.987209474550505
103,66.979416898,3.6734037358579363
104,66.919841952,4.491517216129657
105,66.86033005,3.2662178129677284
106,66.80088119199999,3.981836638306332
107,66.741495378,3.65116170492645
108,66.682172608,4.365097950281708
109,66.622912882,3.3763333586474618
110,66.5637162,4.3629707543600365
111,66.504582562,4.239144880138999
112,66.445511968,3.1276378183554714
113,66.386504418,3.6664165873458905
114,66.327559912,4.229862996266596
115,66.26867845,4.00999403520452
116,66.209860032,2.76732667875559
117,66.151104658,2.5796130826012806
118,66.092412328,2.862224082678208
119,66.033783042,3.5515350329312865
120,65.9752168,3.7197692308548866
121,65.916713602,3.632722564983874
122,65.85827344799999,4.115784523034904
123,65.799896338,4.234032092062902
124,65.741582272,3.3941845213024053
125,65.68333125,3.0054540141433437
126,65.625143272,3.220432223535826
127,65.567018338,2.6993150689935077
128,65.50895644799999,3.072708629114487
