Pixel #,Angle,Signal,Noise_Ref
1,73.387231522,3.359985303008759,3.4131879443094264
2,73.321226088,4.49180044096465,4.482806675142034
3,73.255283698,3.3730270771347852,3.4284181136111247
4,73.189404352,3.627378411566361,3.6033125631221115
5,73.12358805,2.771219217177973,2.7535318815843866
6,73.057834792,2.87199407457879,2.8028474919316184
7,72.992144578,3.389905839647796,3.414149896458261
8,72.926517408,4.432168718820339,4.403320463775256
9,72.860953282,3.6773952080384076,3.739835926940752
10,72.7954522,2.6521013367568185,2.6410628799369964
11,72.730014162,2.6813811964578145,2.6542686573557868
12,72.664639168,3.7284784499829247,3.716879724353622
13,72.599327218,4.113326350042417,4.168140887150463
14,72.534078312,3.9132673245097473,3.9237333422695477
15,72.46889245,3.3174408215613025,3.357811531973762
16,72.40376963199999,3.4749622264452977,3.464807716011703
17,72.338709858,4.0495017626219,4.061840823383499
18,72.273713128,4.221551876205576,4.201801333703871
19,72.208779442,3.9488871683689912,3.9575686068131386
20,72.1439088,2.76539620729501,2.7243045164684614
21,72.079101202,3.9601433421713774,3.9384090603271122
22,72.014356648,4.034299886887929,4.1177155073998595
23,71.949675138,3.271662221369087,3.3152245109929726
24,71.885056672,3.2614275145685063,3.2387127341898756
25,71.82050124999999,4.140123047050241,4.184293368112357
26,71.756008872,2.6396224639793235,2.644054176516546
27,71.691579538,3.9573059909266703,3.9716870648790144
28,71.627213248,3.340204714057838,3.381188807589463
29,71.562910002,4.238789896244849,4.224885297313656
30,71.4986698,3.6813042930722526,3.7505897031114497
31,71.434492642,3.7673479880426783,3.7475874269871277
32,71.370378528,3.4853584906950847,3.5137951951107613
33,71.306327458,2.9492671175515506,3.0198824720885287
34,71.242339432,3.482109359835726,3.4987108196284535
35,71.17841444999999,4.303272136666935,4.299042919464478
36,71.114552512,4.2506753993459165,4.285210519124659
37,71.050753618,3.054086897488131,3.071850287103138
38,70.987017768,3.046998682507205,3.0092747896471805
39,70.923344962,3.7596358559817085,3.714681972172081
40,70.8597352,4.473437008643609,4.476892789831652
41,70.796188482,2.906058286121268,2.8482234234103525
42,70.732704808,3.489647247586818,3.573743719223663
43,70.669284178,3.5550022679641806,3.6049986407778345
44,70.605926592,3.355671039685309,3.387834508801697
45,70.54263205,3.140404038527469,3.1829100573530282
46,70.479400552,4.353532874035429,4.2917540647291785
47,70.416232098,2.8238772662920493,2.829251429152696
48,70.353126688,4.106358271676073,4.134188508461832
49,70.290084322,4.2545806554069525,4.205490890727883
50,70.227105,2.8532365832235604,2.8955050495419625
51,70.164188722,2.807441354366584,2.838496604480912
52,70.101335488,4.155987326370485,4.1621657416663345
53,70.038545298,4.047138976241557,4.035290000877192
54,69.975818152,2.648125062838556,2.6296603816540514
55,69.91315405,4.468624144221678,4.500706756365078
56,69.850552992,3.2869113030511605,3.365495817133025
57,69.78801497799999,2.701766438346319,2.698308082915261
58,69.725540008,4.08068086612671,4.117595339534896
59,69.663128082,3.9182868824962322,3.870142746585043
60,69.6007792,4.065225162959259,4.160781288376247
61,69.538493362,3.7836629405093696,3.7568986716748833
62,69.476270568,2.796281641089821,2.7633538416918464
63,69.414110818,3.8131943648938114,3.8254623610398237
64,69.35201411199999,3.0904490859220646,3.0848748358376907
65,69.28998045,3.3881058416724708,3.43705260518485
66,69.228009832,4.276694658782337,4.3397696137653785
67,69.166102258,3.621499702346008,3.581269604167526
68,69.104257728,3.56093117259378,3.495837031509598
69,69.04247624199999,3.903613310939251,3.9178549015859936
70,68.98075779999999,2.908810720376429,2.929576293793929
71,68.919102402,3.1625924687568627,3.1657632021055155
72,68.857510048,4.024482805898592,4.0294377663715135
73,68.795980738,2.809615656744302,2.7825372970582825
74,68.734514472,4.294865319763812,4.1995731267800185
75,68.67311125,3.019475857466603,2.9933518983085046
76,68.611771072,4.502032076574267,4.41265732578496
77,68.550493938,2.8885280216192837,2.9075930365894003
78,68.489279848,2.842928627718723,2.81805555264403
79,68.428128802,2.879430562945988,2.876066816072317
80,68.3670408,4.074594328498477,4.02975268850957
81,68.306015842,4.4741199973450785,4.482545798008344
82,68.245053928,3.347688196543495,3.3749490684301584
83,68.184155058,4.368764273937648,4.332707678519166
84,68.123319232,3.7721603183553976,3.7070536637768265
85,68.06254645,3.4205171376819195,3.4099148781692294
86,68.001836712,4.256421849609193,4.245720242832139
87,67.941190018,3.5404967510645484,3.5163020867154424
88,67.880606368,3.714705477620465,3.6865169337062866
89,67.820085762,4.4024430295602865,4.315418425381477
90,67.7596282,3.091658789848318,3.06881671043408
91,67.699233682,4.360020416331374,4.361870174494848
92,67.63890220799999,3.644738806081111,3.6276293014520906
93,67.578633778,2.6864006292716853,2.698937146151788
94,67.518428392,3.914308164945793,3.896060197667957
95,67.45828605,4.05510118268777,4.098243220977113
96,67.398206752,2.878294835014479,2.8751944559906115
97,67.338190498,4.512554884518034,4.471671512877441
98,67.278237288,2.8224377253870885,2.814951636549861
99,67.218347122,3.7756800789069316,3.635516510931011
100,67.15852,3.284403190884579,3.3313916499711453
101,67.098755922,3.002874188717991,2.9361451762942474
102,67.039054888,3.134399977044276,3.077433869454482
103,66.979416898,4.005164333265862,3.9935319349297744
104,66.919841952,4.236071867895963,4.240503227304138
105,66.86033005,4.436057185644298,4.371022717256822
106,66.80088119199999,4.404966820983656,4.445387475280684
107,66.741495378,2.84749760266564,2.837745400131711
108,66.682172608,4.441502725229743,4.3781181960988995
109,66.622912882,3.647543114772317,3.6795774751213455
110,66.5637162,3.8688179910065137,3.8266484881308953
111,66.504582562,4.525614830729633,4.501051954931427
112,66.445511968,2.936492374667247,2.9289319724404947
113,66.386504418,3.3923202641357517,3.5262706050377304
114,66.327559912,4.3142446449376095,4.22929358451038
115,66.26867845,4.43284716385472,4.3154544961583285
116,66.209860032,2.7116235733543776,2.7036705406738735
117,66.151104658,3.8310372799289394,3.81360775317662
118,66.092412328,2.8371065040026098,2.7603107728829825
119,66.033783042,3.742686040973434,3.7510327636925034
120,65.9752168,3.4881213532856674,3.444490808955849
121,65.916713602,3.426562118690963,3.457114377151388
122,65.85827344799999,4.167106504751501,4.188512326490299
123,65.799896338,4.4812492934764805,4.521665984224606
124,65.741582272,3.1572360380922717,3.078992324581627
125,65.68333125,2.912964622658959,2.966942526464357
126,65.625143272,3.517109754759784,3.6169810757050422
127,65.567018338,4.309670466276836,4.366982053757237
128,65.50895644799999,3.537419467452397,3.524545090290763
